zone,promoter,total_m2,n_rooms,n_bathrooms,n_toilets,livingroom_m2,livingroom_p,kitchen_m2,kitchen_p,bathroom1_m2,bathroom1_p,bathroom2_m2,bathroom2_p,bathroom3_m2,bathroom3_p,toilet_m2,toilet_p,bdroom1_m2,bdroom1_p,bdroom2_m2,bdroom2_p,bdroom3_m2,bdroom3_p,bdroom4_m2,bdroom4_p,entrance_m2,entrance_p,corridor_m2,corridor_p,laundry_m2,laundry_p
Alicante,Thalassa - Metrovacesa ,101.80,4,2,0,21.10,28.27,14.90,19.97,3.50,8.26,3.50,8.26,,,,,13.10,17.55,9.60,12.86,9.40,12.60,6.90,9.25,4.20,11.55,13.30,36.58,2.3,5.43
Aviles,Aralis II - Arqura Homes,69.15,2,2,0,17.27,23.14,9.06,12.14,4.31,10.17,4.01,9.46,,,,,16.34,21.90,10.82,14.50,,,,,2.97,8.17,4.37,12.02,,
Aviles,Aralis II - Arqura Homes,110.63,4,2,1,23.11,30.97,13.02,17.45,5.27,12.44,4.30,10.15,,,2.40,5.66,12.96,17.37,12.37,16.58,10.04,13.45,8.01,10.73,8.86,24.37,10.29,28.30,,
Barcelona,Themos Riera - Culmia,61.79,2,2,0,20.34,27.26,8.27,11.08,3.60,8.50,3.12,7.36,,,,,10.33,13.84,8.93,11.97,,,,,4.70,12.93,2.50,6.88,,
Barcelona,AQ Llevant,68.75,3,2,0,19.30,25.86,8.95,11.99,3.65,8.61,3.55,8.38,,,,,12.45,16.68,7.50,10.05,7.35,9.85,,,2.80,7.70,3.20,8.80,,
Barcelona,AQ Llevant,69.65,3,2,0,17.05,22.85,8.35,11.19,4.00,9.44,3.90,9.20,,,,,14.10,18.89,7.90,10.59,7.55,10.12,,,3.60,9.90,2.45,6.74,0.75,1.77
Barcelona,Themos Riera - Culmia,81.96,3,2,0,22.19,29.73,11.58,15.52,4.04,9.53,3.61,8.52,,,,,11.19,14.99,10.05,13.47,9.26,12.41,,,6.88,18.92,3.16,8.69,,
Barcelona,Themos Riera - Culmia,92.03,4,2,0,23.66,31.70,11.58,15.52,4.04,9.53,3.61,8.52,,,,,11.19,14.99,10.12,13.56,9.26,12.41,6.32,8.47,7.07,19.44,5.18,14.25,,
Barcelona,AQ Urban Fira,85.66,4,2,1,19.41,26.01,9.02,12.09,3.61,8.52,3.37,7.95,,,3.02,7.13,13.32,17.85,8.07,10.81,8.07,10.81,7.95,10.65,9.82,27.01,,,,
Barcelona,Oslo Bulding,98.25,4,2,1,26.59,35.63,9.28,12.44,4.84,11.42,3.78,8.92,,,2.50,5.90,14.03,18.80,8.58,11.50,7.92,10.61,7.72,10.34,4.87,13.39,7.50,20.63,0.64,1.51
Bilbao,Luz Enea - Pryconsa,76.90,3,2,0,20.66,27.68,8.39,11.24,3.56,8.40,3.32,7.84,,,,,14.32,19.19,10.10,13.53,8.01,10.73,,,4.58,12.60,3.96,10.89,,
Bilbao,Luz Enea - Pryconsa,83.31,3,2,0,22.06,29.56,10.02,13.43,4.13,9.75,3.07,7.25,,,,,15.30,20.50,9.94,13.32,9.29,12.45,,,4.45,12.24,5.05,13.89,,
Bilbao,Luz Enea - Pryconsa,82.92,3,2,0,21.61,28.96,8.48,11.36,3.68,8.68,3.38,7.98,,,,,14.49,19.42,9.34,12.52,9.02,12.09,,,7.14,19.64,5.78,15.90,,
Bilbao,Luz Enea - Pryconsa,126.50,4,2,1,30.86,41.35,9.80,13.13,5.13,12.11,3.19,7.53,,,2.60,6.14,26.39,35.36,11.37,15.24,10.11,13.55,10.08,13.51,9.99,27.47,5.18,14.25,1.80,4.25
Bilbao,Luz Enea - Pryconsa,125.16,4,2,1,30.20,40.47,11.01,14.75,4.58,10.81,3.15,7.43,,,2.51,5.92,24.33,32.60,11.21,15.02,10.03,13.44,10.01,13.41,10.21,28.08,5.95,16.36,1.97,4.65
Cordoba,Terrazas de Sta. Rosa / Insur,68.01,2,2,0,18.91,25.34,8.39,11.24,4.31,10.17,3.81,8.99,,,,,14.62,19.59,10.65,14.27,,,,,7.32,20.13,,,,
Cordoba,Terrazas de Sta. Rosa / Insur,64.41,2,2,0,17.78,23.83,6.92,9.27,4.90,11.56,2.99,7.06,,,,,12.66,16.96,9.97,13.36,,,,,3.35,9.21,3.85,10.59,1.99,4.70
Cordoba,Terrazas de Sta. Rosa / Insur,76.33,3,1,0,20.14,26.99,8.59,11.51,3.89,9.18,,,,,,,13.94,18.68,9.91,13.28,9.63,12.90,,,2.90,7.98,5.30,14.58,2.03,4.79
Cordoba,Terrazas de Sta. Rosa / Insur,75.99,3,1,0,20.15,27.00,8.39,11.24,3.92,9.25,,,,,,,13.89,18.61,9.91,13.28,9.52,12.76,,,2.90,7.98,5.32,14.63,1.99,4.70
Cordoba,Terrazas de Sta. Rosa / Insur,78.70,3,1,0,20.43,27.38,8.79,11.78,3.91,9.23,,,,,,,13.57,18.18,9.97,13.36,9.41,12.61,,,4.91,13.50,5.79,15.92,1.92,4.53
Cordoba,Panorama - Metrovacesa,95.60,4,2,0,24.20,32.43,11.90,15.95,4.00,9.44,3.60,8.50,,,,,14.40,19.30,10.30,13.80,10.30,13.80,9.40,12.60,5.00,13.75,2.50,6.88,,
Cordoba,Terrazas de Sta. Rosa / Insur,91.35,4,2,0,20.42,27.36,8.56,11.47,3.89,9.18,3.98,9.39,,,,,13.59,18.21,9.97,13.36,10.06,13.48,8.31,11.14,4.91,13.50,5.78,15.90,1.88,4.44
Cordoba,Terrazas de Sta. Rosa / Insur,90.96,4,2,0,20.31,27.22,8.61,11.54,3.92,9.25,3.93,9.27,,,,,13.59,18.21,9.97,13.36,10.01,13.41,7.98,10.69,4.91,13.50,5.85,16.09,1.88,4.44
Cuenca,Villa Roman,86.45,3,2,0,25.50,34.17,10.75,14.41,4.23,9.98,4.04,9.53,,,,,15.00,20.10,11.15,14.94,11.08,14.85,,,4.70,12.93,,,,
Cuenca,Villa Roman,114.65,4,2,0,25.57,34.26,13.59,18.21,5.14,12.13,4.35,10.27,,,,,17.38,23.29,11.16,14.95,11.03,14.78,11.02,14.77,7.00,19.25,8.41,23.13,,
Sevilla,Azaire,104.09,4,2,0,29.18,39.10,10.25,13.74,4.01,9.46,3.93,9.27,,,,,15.68,21.01,11.12,14.90,9.87,13.23,9.47,12.69,5.14,14.14,5.44,14.96,,
Granada,Alma F2,68.60,2,1,0,26.60,35.64,9.20,12.33,4.00,9.44,,,,,,,15.50,20.77,10.70,14.34,,,,,,,2.60,7.15,,
Granada,Alma F2,68.10,2,1,0,26.60,35.64,9.00,12.06,4.00,9.44,,,,,,,15.50,20.77,10.40,13.94,,,,,,,2.60,7.15,,
Granada,Alma F2,74.80,2,1,0,31.90,42.75,8.80,11.79,4.80,11.33,,,,,,,13.50,18.09,9.60,12.86,,,,,2.40,6.60,3.80,10.45,,
Granada,Alma F2,69.80,2,2,0,21.90,29.35,8.60,11.52,4.40,10.38,4.00,9.44,,,,,13.70,18.36,10.10,13.53,,,,,2.20,6.05,4.90,13.48,,
Granada,Alma F2,67.00,2,2,0,20.30,27.20,6.10,8.17,4.40,10.38,4.20,9.91,,,,,13.40,17.96,11.10,14.87,,,,,5.20,14.30,2.30,6.33,,
Granada,Alma F2,66.00,2,2,0,19.50,26.13,6.10,8.17,4.20,9.91,4.20,9.91,,,,,13.40,17.96,11.10,14.87,,,,,5.20,14.30,2.30,6.33,,
