zone,promoter,total_m2,n_rooms,n_bathrooms,n_toilets,avg_area_per_room,avg_perimeter_per_room,avg_area_per_bedroom,avg_perimeter_per_bedroom,avg_area_per_bathroom,avg_perimeter_per_bathroom,avg_area_per_toilet,avg_perimeter_per_toilet,area_to_perimeter_ratio,bathroom_area_to_total_area_ratio,bedroom_area_to_total_area_ratio,toilet_area_to_total_area_ratio,kitchen_area_to_total_area_ratio,livingroom_area_to_total_area_ratio,corridor_area_to_total_area_ratio,bathrooms_to_rooms_ratio,toilets_to_rooms_ratio,bedrooms_to_rooms_ratio,livingroom_perimeter_to_total_perimeter_ratio,kitchen_perimeter_to_total_perimeter_ratio,bedroom_perimeter_to_total_perimeter_ratio,bathroom_perimeter_to_total_perimeter_ratio,livingroom_m2,livingroom_p,kitchen_m2,kitchen_p,bathroom1_m2,bathroom1_p,bathroom2_m2,bathroom2_p,bathroom3_m2,bathroom3_p,toilet_m2,toilet_p,bdroom1_m2,bdroom1_p,bdroom2_m2,bdroom2_p,bdroom3_m2,bdroom3_p,bdroom4_m2,bdroom4_p,entrance_m2,entrance_p,corridor_m2,corridor_p,laundry_m2,laundry_p
Alicante,Thalassa - Metrovacesa ,101.8,4,2,0,16.96666667,19.50333333,9.75,13.065,3.5,8.26,0,0,0.869936763,0.068762279,0.383104126,0,0.146365422,0.207269155,0.13064833,0.5,0,0.666666667,0.241582635,0.170654589,0.446590326,0.141172449,21.1,28.27,14.9,19.97,3.5,8.26,3.5,8.26,0,0,0,0,13.1,17.55,9.6,12.86,9.4,12.6,6.9,9.25,4.2,11.55,13.3,36.58,2.3,5.43
Aviles,Aralis II - Arqura Homes,69.15,2,2,0,17.2875,22.8275,13.58,18.2,4.16,9.815,0,0,0.757310262,0.120318149,0.392769342,0,0.131019523,0.249746927,0.063195951,1,0,0.5,0.253422407,0.132953674,0.398641989,0.21498193,17.27,23.14,9.06,12.14,4.31,10.17,4.01,9.46,0,0,0,0,16.34,21.9,10.82,14.5,0,0,0,0,2.97,8.17,4.37,12.02,0,0
Aviles,Aralis II - Arqura Homes,110.63,4,2,1,15.80428571,19.25714286,10.845,14.5325,4.785,11.295,2.4,5.66,0.820697329,0.086504565,0.39211787,0.021693935,0.117689596,0.208894513,0.093012745,0.5,0.25,0.571428571,0.229747774,0.129451039,0.431231454,0.167581602,23.11,30.97,13.02,17.45,5.27,12.44,4.3,10.15,0,0,2.4,5.66,12.96,17.37,12.37,16.58,10.04,13.45,8.01,10.73,8.86,24.37,10.29,28.3,0,0
Barcelona,Themos Riera - Culmia,61.79,2,2,0,15.4475,20.0025,9.63,12.905,3.36,7.93,0,0,0.772278465,0.108755462,0.311700922,0,0.133840427,0.329179479,0.040459621,1,0,0.5,0.340707412,0.13848269,0.322584677,0.198225222,20.34,27.26,8.27,11.08,3.6,8.5,3.12,7.36,0,0,0,0,10.33,13.84,8.93,11.97,0,0,0,0,4.7,12.93,2.5,6.88,0,0
Barcelona,AQ Llevant,68.75,3,2,0,13.75,18.284,9.1,12.19333333,3.6,8.495,0,0,0.752023627,0.104727273,0.397090909,0,0.130181818,0.280727273,0.046545455,0.666666667,0,0.6,0.282870269,0.131152921,0.400131262,0.185845548,19.3,25.86,8.95,11.99,3.65,8.61,3.55,8.38,0,0,0,0,12.45,16.68,7.5,10.05,7.35,9.85,0,0,2.8,7.7,3.2,8.8,0,0
Barcelona,AQ Llevant,69.65,3,2,0,13.93,18.456,9.85,13.2,3.95,9.32,0,0,0.754768097,0.113424264,0.424264178,0,0.11988514,0.244795406,0.035175879,0.666666667,0,0.6,0.247615951,0.121261378,0.429128739,0.201993932,17.05,22.85,8.35,11.19,4,9.44,3.9,9.2,0,0,0,0,14.1,18.89,7.9,10.59,7.55,10.12,0,0,3.6,9.9,2.45,6.74,0.75,1.77
Barcelona,Themos Riera - Culmia,81.96,3,2,0,16.392,20.834,10.16666667,13.62333333,3.825,9.025,0,0,0.786790823,0.093338214,0.372132748,0,0.141288433,0.270741825,0.038555393,0.666666667,0,0.6,0.285398867,0.148987232,0.392339445,0.173274455,22.19,29.73,11.58,15.52,4.04,9.53,3.61,8.52,0,0,0,0,11.19,14.99,10.05,13.47,9.26,12.41,0,0,6.88,18.92,3.16,8.69,0,0
Barcelona,Themos Riera - Culmia,92.03,4,2,0,15.33833333,19.11666667,9.2225,12.3575,3.825,9.025,0,0,0.802353967,0.083125068,0.40084755,0,0.125828534,0.257090079,0.056285994,0.5,0,0.666666667,0.276373147,0.135309503,0.430950305,0.157367044,23.66,31.7,11.58,15.52,4.04,9.53,3.61,8.52,0,0,0,0,11.19,14.99,10.12,13.56,9.26,12.41,6.32,8.47,7.07,19.44,5.18,14.25,0,0
Barcelona,AQ Urban Fira,85.66,4,2,1,12.23714286,15.97428571,9.3525,12.53,3.49,8.235,3.02,7.13,0.766052585,0.08148494,0.436726594,0.035255662,0.105300023,0.226593509,0,0.5,0.25,0.571428571,0.232605974,0.108120193,0.448220354,0.147290288,19.41,26.01,9.02,12.09,3.61,8.52,3.37,7.95,0,0,3.02,7.13,13.32,17.85,8.07,10.81,8.07,10.81,7.95,10.65,9.82,27.01,0,0,0,0
Barcelona,Oslo Bulding,98.25,4,2,1,14.03571429,17.93714286,9.5625,12.8125,4.31,10.17,2.5,5.9,0.782494425,0.087735369,0.389312977,0.025445293,0.094452926,0.270636132,0.076335878,0.5,0.25,0.571428571,0.283768716,0.099076139,0.408171392,0.161994266,26.59,35.63,9.28,12.44,4.84,11.42,3.78,8.92,0,0,2.5,5.9,14.03,18.8,8.58,11.5,7.92,10.61,7.72,10.34,4.87,13.39,7.5,20.63,0.64,1.51
Bilbao,Luz Enea - Pryconsa,76.9,3,2,0,15.38,19.722,10.81,14.48333333,3.44,8.12,0,0,0.779839773,0.08946684,0.421716515,0,0.109102731,0.268660598,0.051495449,0.666666667,0,0.6,0.280701754,0.113984383,0.440624683,0.16468918,20.66,27.68,8.39,11.24,3.56,8.4,3.32,7.84,0,0,0,0,14.32,19.19,10.1,13.53,8.01,10.73,0,0,4.58,12.6,3.96,10.89,0,0
Bilbao,Luz Enea - Pryconsa,83.31,3,2,0,16.662,21.252,11.51,15.42333333,3.6,8.5,0,0,0.784020327,0.086424199,0.414476053,0,0.120273677,0.264794142,0.060616973,0.666666667,0,0.6,0.278185583,0.126388105,0.43544137,0.159984943,22.06,29.56,10.02,13.43,4.13,9.75,3.07,7.25,0,0,0,0,15.3,20.5,9.94,13.32,9.29,12.45,0,0,4.45,12.24,5.05,13.89,0,0
Bilbao,Luz Enea - Pryconsa,82.92,3,2,0,16.584,20.202,10.95,14.67666667,3.53,8.33,0,0,0.820908821,0.085142306,0.396164978,0,0.102267246,0.260612639,0.06970574,0.666666667,0,0.6,0.286704287,0.112464112,0.435897436,0.164934165,21.61,28.96,8.48,11.36,3.68,8.68,3.38,7.98,0,0,0,0,14.49,19.42,9.34,12.52,9.02,12.09,0,0,7.14,19.64,5.78,15.9,0,0
Bilbao,Luz Enea - Pryconsa,126.5,4,2,1,18.07142857,22.56,14.4875,19.415,4.16,9.82,2.6,6.14,0.801038501,0.065770751,0.458102767,0.02055336,0.077470356,0.243952569,0.040948617,0.5,0.25,0.571428571,0.261841439,0.083143364,0.491767984,0.124366768,30.86,41.35,9.8,13.13,5.13,12.11,3.19,7.53,0,0,2.6,6.14,26.39,35.36,11.37,15.24,10.11,13.55,10.08,13.51,9.99,27.47,5.18,14.25,1.8,4.25
Bilbao,Luz Enea - Pryconsa,125.16,4,2,1,17.88,21.97857143,13.895,18.6175,3.865,9.12,2.51,5.92,0.813519662,0.061760946,0.444071588,0.02005433,0.087967402,0.241291147,0.04753915,0.5,0.25,0.571428571,0.263048424,0.095872603,0.484042899,0.118557036,30.2,40.47,11.01,14.75,4.58,10.81,3.15,7.43,0,0,2.51,5.92,24.33,32.6,11.21,15.02,10.03,13.44,10.01,13.41,10.21,28.08,5.95,16.36,1.97,4.65
Cordoba,Terrazas de Sta. Rosa / Insur,68.01,2,2,0,17.0025,22.4,12.635,16.93,4.06,9.58,0,0,0.759040179,0.119394207,0.371563005,0,0.123364211,0.278047346,0,1,0,0.5,0.2828125,0.125446429,0.377901786,0.213839286,18.91,25.34,8.39,11.24,4.31,10.17,3.81,8.99,0,0,0,0,14.62,19.59,10.65,14.27,0,0,0,0,7.32,20.13,0,0,0,0
Cordoba,Terrazas de Sta. Rosa / Insur,64.41,2,2,0,16.1025,20.51,11.315,15.16,3.945,9.31,0,0,0.785104827,0.122496507,0.351342959,0,0.107436733,0.276044093,0.059773327,1,0,0.5,0.290468064,0.112993662,0.369575817,0.226962457,17.78,23.83,6.92,9.27,4.9,11.56,2.99,7.06,0,0,0,0,12.66,16.96,9.97,13.36,0,0,0,0,3.35,9.21,3.85,10.59,1.99,4.7
Cordoba,Terrazas de Sta. Rosa / Insur,76.33,3,1,0,19.0825,23.135,11.16,14.95333333,3.89,9.18,0,0,0.824832505,0.050962924,0.438621774,0,0.112537665,0.263854317,0.069435347,0.333333333,0,0.75,0.291657662,0.124378647,0.484763346,0.099200346,20.14,26.99,8.59,11.51,3.89,9.18,0,0,0,0,0,0,13.94,18.68,9.91,13.28,9.63,12.9,0,0,2.9,7.98,5.3,14.58,2.03,4.79
Cordoba,Terrazas de Sta. Rosa / Insur,75.99,3,1,0,18.9975,23.035,11.10666667,14.88333333,3.92,9.25,0,0,0.824723247,0.051585735,0.438478747,0,0.110409264,0.265166469,0.070009212,0.333333333,0,0.75,0.293032342,0.121988279,0.484588669,0.10039071,20.15,27,8.39,11.24,3.92,9.25,0,0,0,0,0,0,13.89,18.61,9.91,13.28,9.52,12.76,0,0,2.9,7.98,5.32,14.63,1.99,4.7
Cordoba,Terrazas de Sta. Rosa / Insur,78.7,3,1,0,19.675,23.135,10.98333333,14.71666667,3.91,9.23,0,0,0.850443052,0.049682338,0.418678526,0,0.111689962,0.259593393,0.073570521,0.333333333,0,0.75,0.295872055,0.127296304,0.477090988,0.099740653,20.43,27.38,8.79,11.78,3.91,9.23,0,0,0,0,0,0,13.57,18.18,9.97,13.36,9.41,12.61,0,0,4.91,13.5,5.79,15.92,1.92,4.53
Cordoba,Panorama - Metrovacesa,95.6,4,2,0,15.93333333,20.97,11.1,14.875,3.8,8.97,0,0,0.75981561,0.079497908,0.464435146,0,0.124476987,0.253138075,0.026150628,0.5,0,0.666666667,0.257749165,0.126768399,0.47289779,0.142584645,24.2,32.43,11.9,15.95,4,9.44,3.6,8.5,0,0,0,0,14.4,19.3,10.3,13.8,10.3,13.8,9.4,12.6,5,13.75,2.5,6.88,0,0
Cordoba,Terrazas de Sta. Rosa / Insur,91.35,4,2,0,15.225,18.93166667,10.4825,14.0475,3.935,9.285,0,0,0.804208117,0.086152162,0.459003831,0,0.093705528,0.223535851,0.063273125,0.5,0,0.666666667,0.240866273,0.100977199,0.494673827,0.163482701,20.42,27.36,8.56,11.47,3.89,9.18,3.98,9.39,0,0,0,0,13.59,18.21,9.97,13.36,10.06,13.48,8.31,11.14,4.91,13.5,5.78,15.9,1.88,4.44
Cordoba,Terrazas de Sta. Rosa / Insur,90.96,4,2,0,15.16,18.825,10.3875,13.9175,3.925,9.26,0,0,0.805312085,0.086301671,0.456794195,0,0.094656992,0.22328496,0.064313984,0.5,0,0.666666667,0.240991589,0.102169101,0.492872953,0.163966357,20.31,27.22,8.61,11.54,3.92,9.25,3.93,9.27,0,0,0,0,13.59,18.21,9.97,13.36,10.01,13.41,7.98,10.69,4.91,13.5,5.85,16.09,1.88,4.44
Cuenca,Villa Roman,86.45,3,2,0,17.29,23.596,12.41,16.63,4.135,9.755,0,0,0.732751314,0.095662233,0.430653557,0,0.124349335,0.29496819,0,0.666666667,0,0.6,0.28962536,0.122139346,0.422868283,0.165367011,25.5,34.17,10.75,14.41,4.23,9.98,4.04,9.53,0,0,0,0,15,20.1,11.15,14.94,11.08,14.85,0,0,4.7,12.93,0,0,0,0
Cuenca,Villa Roman,114.65,4,2,0,19.10833333,23.77666667,12.6475,16.9475,4.745,11.2,0,0,0.803659049,0.082773659,0.441255997,0,0.118534671,0.223026603,0.073353685,0.5,0,0.666666667,0.240151409,0.127646152,0.475185756,0.157016683,25.57,34.26,13.59,18.21,5.14,12.13,4.35,10.27,0,0,0,0,17.38,23.29,11.16,14.95,11.03,14.78,11.02,14.77,7,19.25,8.41,23.13,0,0
Sevilla,Azaire,104.09,4,2,0,17.34833333,22.23333333,11.535,15.4575,3.97,9.365,0,0,0.780284858,0.076280142,0.443270247,0,0.098472476,0.280334326,0.052262465,0.5,0,0.666666667,0.293103448,0.102998501,0.463493253,0.140404798,29.18,39.1,10.25,13.74,4.01,9.46,3.93,9.27,0,0,0,0,15.68,21.01,11.12,14.9,9.87,13.23,9.47,12.69,5.14,14.14,5.44,14.96,0,0
Granada,Alma F2,68.6,2,1,0,22.86666667,30.84,13.1,17.555,4,9.44,0,0,0.741461306,0.058309038,0.381924198,0,0.134110787,0.387755102,0.037900875,0.5,0,0.666666667,0.385214008,0.133268482,0.379485517,0.102031993,26.6,35.64,9.2,12.33,4,9.44,0,0,0,0,0,0,15.5,20.77,10.7,14.34,0,0,0,0,0,0,2.6,7.15,0,0
Granada,Alma F2,68.1,2,1,0,22.7,30.61666667,12.95,17.355,4,9.44,0,0,0.741426238,0.058737151,0.380323054,0,0.13215859,0.390602056,0.038179148,0.5,0,0.666666667,0.388023952,0.131301034,0.377898748,0.102776266,26.6,35.64,9,12.06,4,9.44,0,0,0,0,0,0,15.5,20.77,10.4,13.94,0,0,0,0,0,0,2.6,7.15,0,0
Granada,Alma F2,74.8,2,1,0,24.93333333,32.27333333,11.55,15.475,4.8,11.33,0,0,0.772567651,0.064171123,0.308823529,0,0.117647059,0.426470588,0.050802139,0.5,0,0.666666667,0.441541004,0.121772361,0.319665358,0.117021277,31.9,42.75,8.8,11.79,4.8,11.33,0,0,0,0,0,0,13.5,18.09,9.6,12.86,0,0,0,0,2.4,6.6,3.8,10.45,0,0
Granada,Alma F2,69.8,2,2,0,17.45,23.145,11.9,15.945,4.2,9.91,0,0,0.753942536,0.12034384,0.340974212,0,0.123209169,0.313753582,0.070200573,1,0,0.5,0.317023115,0.124432923,0.344458846,0.214085116,21.9,29.35,8.6,11.52,4.4,10.38,4,9.44,0,0,0,0,13.7,18.36,10.1,13.53,0,0,0,0,2.2,6.05,4.9,13.48,0,0
Granada,Alma F2,67,2,2,0,16.75,22.1225,12.25,16.415,4.3,10.145,0,0,0.7571477,0.128358209,0.365671642,0,0.091044776,0.302985075,0.034328358,1,0,0.5,0.307379365,0.092326817,0.371002373,0.229291445,20.3,27.2,6.1,8.17,4.4,10.38,4.2,9.91,0,0,0,0,13.4,17.96,11.1,14.87,0,0,0,0,5.2,14.3,2.3,6.33,0,0
Granada,Alma F2,66,2,2,0,16.5,21.7375,12.25,16.415,4.2,9.91,0,0,0.759056929,0.127272727,0.371212121,0,0.092424242,0.295454545,0.034848485,1,0,0.5,0.300517539,0.093962047,0.377573318,0.227947096,19.5,26.13,6.1,8.17,4.2,9.91,4.2,9.91,0,0,0,0,13.4,17.96,11.1,14.87,0,0,0,0,5.2,14.3,2.3,6.33,0,0
Granada,Alma F2,67.6,2,2,0,16.9,21.5775,10.6,14.205,3.95,9.32,0,0,0.783223265,0.116863905,0.313609467,0,0.125739645,0.307692308,0.082840237,1,0,0.5,0.322905805,0.131966168,0.329162322,0.215965705,20.8,27.87,8.5,11.39,4,9.44,3.9,9.2,0,0,0,0,12.2,16.35,9,12.06,0,0,0,0,3.6,9.9,5.6,15.4,0,0
