zone,promoter,total_m2,n_rooms,n_bathrooms,n_toilets,avg_area_per_room,avg_perimeter_per_room,avg_area_per_bedroom,avg_perimeter_per_bedroom,avg_area_per_bathroom,avg_perimeter_per_bathroom,avg_area_per_toilet,avg_perimeter_per_toilet,area_to_perimeter_ratio,bathroom_area_to_total_area_ratio,bedroom_area_to_total_area_ratio,toilet_area_to_total_area_ratio,kitchen_area_to_total_area_ratio,livingroom_area_to_total_area_ratio,corridor_area_to_total_area_ratio,bathrooms_to_rooms_ratio,toilets_to_rooms_ratio,bedrooms_to_rooms_ratio,livingroom_perimeter_to_total_perimeter_ratio,kitchen_perimeter_to_total_perimeter_ratio,bedroom_perimeter_to_total_perimeter_ratio,bathroom_perimeter_to_total_perimeter_ratio,livingroom_m2,livingroom_p,kitchen_m2,kitchen_p,bathroom1_m2,bathroom1_p,bathroom2_m2,bathroom2_p,bathroom3_m2,bathroom3_p,toilet_m2,toilet_p,bdroom1_m2,bdroom1_p,bdroom2_m2,bdroom2_p,bdroom3_m2,bdroom3_p,bdroom4_m2,bdroom4_p,entrance_m2,entrance_p,corridor_m2,corridor_p,laundry_m2,laundry_p
Alicante,Thalassa - Metrovacesa ,101.8,4,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,21.1,28.27,14.9,19.97,3.5,8.26,3.5,8.26,0,0,0,0,13.1,17.55,9.6,12.86,9.4,12.6,6.9,9.25,4.2,11.55,13.3,36.58,2.3,5.43
Aviles,Aralis II - Arqura Homes,69.15,2,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,17.27,23.14,9.06,12.14,4.31,10.17,4.01,9.46,0,0,0,0,16.34,21.9,10.82,14.5,0,0,0,0,2.97,8.17,4.37,12.02,0,0
Aviles,Aralis II - Arqura Homes,110.63,4,2,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,23.11,30.97,13.02,17.45,5.27,12.44,4.3,10.15,0,0,2.4,5.66,12.96,17.37,12.37,16.58,10.04,13.45,8.01,10.73,8.86,24.37,10.29,28.3,0,0
Barcelona,Themos Riera - Culmia,61.79,2,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,20.34,27.26,8.27,11.08,3.6,8.5,3.12,7.36,0,0,0,0,10.33,13.84,8.93,11.97,0,0,0,0,4.7,12.93,2.5,6.88,0,0
Barcelona,AQ Llevant,68.75,3,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,19.3,25.86,8.95,11.99,3.65,8.61,3.55,8.38,0,0,0,0,12.45,16.68,7.5,10.05,7.35,9.85,0,0,2.8,7.7,3.2,8.8,0,0
Barcelona,AQ Llevant,69.65,3,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,17.05,22.85,8.35,11.19,4,9.44,3.9,9.2,0,0,0,0,14.1,18.89,7.9,10.59,7.55,10.12,0,0,3.6,9.9,2.45,6.74,0.75,1.77
Barcelona,Themos Riera - Culmia,81.96,3,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,22.19,29.73,11.58,15.52,4.04,9.53,3.61,8.52,0,0,0,0,11.19,14.99,10.05,13.47,9.26,12.41,0,0,6.88,18.92,3.16,8.69,0,0
Barcelona,Themos Riera - Culmia,92.03,4,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,23.66,31.7,11.58,15.52,4.04,9.53,3.61,8.52,0,0,0,0,11.19,14.99,10.12,13.56,9.26,12.41,6.32,8.47,7.07,19.44,5.18,14.25,0,0
Barcelona,AQ Urban Fira,85.66,4,2,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,19.41,26.01,9.02,12.09,3.61,8.52,3.37,7.95,0,0,3.02,7.13,13.32,17.85,8.07,10.81,8.07,10.81,7.95,10.65,9.82,27.01,0,0,0,0
Barcelona,Oslo Bulding,98.25,4,2,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,26.59,35.63,9.28,12.44,4.84,11.42,3.78,8.92,0,0,2.5,5.9,14.03,18.8,8.58,11.5,7.92,10.61,7.72,10.34,4.87,13.39,7.5,20.63,0.64,1.51
Bilbao,Luz Enea - Pryconsa,76.9,3,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,20.66,27.68,8.39,11.24,3.56,8.4,3.32,7.84,0,0,0,0,14.32,19.19,10.1,13.53,8.01,10.73,0,0,4.58,12.6,3.96,10.89,0,0
Bilbao,Luz Enea - Pryconsa,83.31,3,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,22.06,29.56,10.02,13.43,4.13,9.75,3.07,7.25,0,0,0,0,15.3,20.5,9.94,13.32,9.29,12.45,0,0,4.45,12.24,5.05,13.89,0,0
Bilbao,Luz Enea - Pryconsa,82.92,3,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,21.61,28.96,8.48,11.36,3.68,8.68,3.38,7.98,0,0,0,0,14.49,19.42,9.34,12.52,9.02,12.09,0,0,7.14,19.64,5.78,15.9,0,0
Bilbao,Luz Enea - Pryconsa,126.5,4,2,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,30.86,41.35,9.8,13.13,5.13,12.11,3.19,7.53,0,0,2.6,6.14,26.39,35.36,11.37,15.24,10.11,13.55,10.08,13.51,9.99,27.47,5.18,14.25,1.8,4.25
Bilbao,Luz Enea - Pryconsa,125.16,4,2,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,30.2,40.47,11.01,14.75,4.58,10.81,3.15,7.43,0,0,2.51,5.92,24.33,32.6,11.21,15.02,10.03,13.44,10.01,13.41,10.21,28.08,5.95,16.36,1.97,4.65
Cordoba,Terrazas de Sta. Rosa / Insur,68.01,2,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,18.91,25.34,8.39,11.24,4.31,10.17,3.81,8.99,0,0,0,0,14.62,19.59,10.65,14.27,0,0,0,0,7.32,20.13,0,0,0,0
Cordoba,Terrazas de Sta. Rosa / Insur,64.41,2,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,17.78,23.83,6.92,9.27,4.9,11.56,2.99,7.06,0,0,0,0,12.66,16.96,9.97,13.36,0,0,0,0,3.35,9.21,3.85,10.59,1.99,4.7
Cordoba,Terrazas de Sta. Rosa / Insur,76.33,3,1,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,20.14,26.99,8.59,11.51,3.89,9.18,0,0,0,0,0,0,13.94,18.68,9.91,13.28,9.63,12.9,0,0,2.9,7.98,5.3,14.58,2.03,4.79
Cordoba,Terrazas de Sta. Rosa / Insur,75.99,3,1,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,20.15,27,8.39,11.24,3.92,9.25,0,0,0,0,0,0,13.89,18.61,9.91,13.28,9.52,12.76,0,0,2.9,7.98,5.32,14.63,1.99,4.7
Cordoba,Terrazas de Sta. Rosa / Insur,78.7,3,1,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,20.43,27.38,8.79,11.78,3.91,9.23,0,0,0,0,0,0,13.57,18.18,9.97,13.36,9.41,12.61,0,0,4.91,13.5,5.79,15.92,1.92,4.53
Cordoba,Panorama - Metrovacesa,95.6,4,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,24.2,32.43,11.9,15.95,4,9.44,3.6,8.5,0,0,0,0,14.4,19.3,10.3,13.8,10.3,13.8,9.4,12.6,5,13.75,2.5,6.88,0,0
Cordoba,Terrazas de Sta. Rosa / Insur,91.35,4,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,20.42,27.36,8.56,11.47,3.89,9.18,3.98,9.39,0,0,0,0,13.59,18.21,9.97,13.36,10.06,13.48,8.31,11.14,4.91,13.5,5.78,15.9,1.88,4.44
Cordoba,Terrazas de Sta. Rosa / Insur,90.96,4,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,20.31,27.22,8.61,11.54,3.92,9.25,3.93,9.27,0,0,0,0,13.59,18.21,9.97,13.36,10.01,13.41,7.98,10.69,4.91,13.5,5.85,16.09,1.88,4.44
Cuenca,Villa Roman,86.45,3,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,25.5,34.17,10.75,14.41,4.23,9.98,4.04,9.53,0,0,0,0,15,20.1,11.15,14.94,11.08,14.85,0,0,4.7,12.93,0,0,0,0
Cuenca,Villa Roman,114.65,4,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,25.57,34.26,13.59,18.21,5.14,12.13,4.35,10.27,0,0,0,0,17.38,23.29,11.16,14.95,11.03,14.78,11.02,14.77,7,19.25,8.41,23.13,0,0
Sevilla,Azaire,104.09,4,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,29.18,39.1,10.25,13.74,4.01,9.46,3.93,9.27,0,0,0,0,15.68,21.01,11.12,14.9,9.87,13.23,9.47,12.69,5.14,14.14,5.44,14.96,0,0
Granada,Alma F2,68.6,2,1,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,26.6,35.64,9.2,12.33,4,9.44,0,0,0,0,0,0,15.5,20.77,10.7,14.34,0,0,0,0,0,0,2.6,7.15,0,0
Granada,Alma F2,68.1,2,1,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,26.6,35.64,9,12.06,4,9.44,0,0,0,0,0,0,15.5,20.77,10.4,13.94,0,0,0,0,0,0,2.6,7.15,0,0
Granada,Alma F2,74.8,2,1,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,31.9,42.75,8.8,11.79,4.8,11.33,0,0,0,0,0,0,13.5,18.09,9.6,12.86,0,0,0,0,2.4,6.6,3.8,10.45,0,0
Granada,Alma F2,69.8,2,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,21.9,29.35,8.6,11.52,4.4,10.38,4,9.44,0,0,0,0,13.7,18.36,10.1,13.53,0,0,0,0,2.2,6.05,4.9,13.48,0,0
Granada,Alma F2,67,2,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,20.3,27.2,6.1,8.17,4.4,10.38,4.2,9.91,0,0,0,0,13.4,17.96,11.1,14.87,0,0,0,0,5.2,14.3,2.3,6.33,0,0
Granada,Alma F2,66,2,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,19.5,26.13,6.1,8.17,4.2,9.91,4.2,9.91,0,0,0,0,13.4,17.96,11.1,14.87,0,0,0,0,5.2,14.3,2.3,6.33,0,0
Granada,Alma F2,67.6,2,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,20.8,27.87,8.5,11.39,4,9.44,3.9,9.2,0,0,0,0,12.2,16.35,9,12.06,0,0,0,0,3.6,9.9,5.6,15.4,0,0
Granada,Alma F2,74.2,3,1,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,21.9,29.35,9.3,12.46,4.1,9.68,0,0,0,0,0,0,14.3,19.16,10,13.4,9.9,13.27,0,0,2.2,6.05,2.5,6.88,0,0
Granada,Alma F2,85.3,3,1,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,29.1,38.99,8.9,11.93,4.6,10.86,0,0,0,0,0,0,13,17.42,10.4,13.94,9.5,12.73,0,0,4.6,12.65,5.2,14.3,0,0
Granada,Alma F2,83.5,3,1,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,27,36.18,8.6,11.52,3.9,9.2,0,0,0,0,0,0,13.4,17.96,11.1,14.87,9.2,12.33,0,0,3.6,9.9,6.7,18.43,0,0
Granada,Alma F2,82.7,3,1,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,23.6,31.62,8.3,11.12,4.2,9.91,0,0,0,0,0,0,14.1,18.89,11,14.74,11,14.74,0,0,5.8,15.95,4.7,12.93,0,0
Granada,Alma F2,93.3,3,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,30.2,40.47,9.8,13.13,4.1,9.68,3.9,9.2,0,0,0,0,12.9,17.29,12.3,16.48,10.3,13.8,0,0,5.4,14.85,4.4,12.1,0,0
Granada,Alma F2,93.4,3,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,30.2,40.47,9.8,13.13,4.1,9.68,3.9,9.2,0,0,0,0,12.9,17.29,12.3,16.48,10.3,13.8,0,0,5.5,15.13,4.4,12.1,0,0
Granada,Alma F2,83.7,3,1,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,24.1,32.29,8.5,11.39,4.5,10.62,0,0,0,0,0,0,13.8,18.49,10.8,14.47,10.6,14.2,0,0,4.7,12.93,4.7,12.93,2,4.72
Granada,Alma F2,92.8,3,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,29.5,39.53,9.9,13.27,4.1,9.68,4,9.44,0,0,0,0,12.9,17.29,10.3,13.8,12.3,16.48,0,0,5.4,14.85,4.4,12.1,0,0
Granada,Alma F2,91.5,3,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,28.6,38.32,9.7,13,4.4,10.38,3.8,8.97,0,0,0,0,13.9,18.63,10.9,14.61,10.2,13.67,0,0,7,19.25,3,8.25,0,0
Granada,Alma F2,95.2,4,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,25.4,34.04,9.5,12.73,4.4,10.38,3.9,9.2,0,0,0,0,14,18.76,9.8,13.13,9.1,12.19,9.1,12.19,4.3,11.83,5.7,15.68,0,0
Coruna,Caleida - Metrovacesa,70.9,2,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,19.6,26.26,8.1,10.85,5.2,12.27,3.5,8.26,0,0,0,0,12.2,16.35,10.3,13.8,0,0,0,0,6,16.5,2.8,7.7,3.2,7.55
Coruna,Caleida - Metrovacesa,69.6,2,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,18.3,24.52,8.1,10.85,5.2,12.27,3.5,8.26,0,0,0,0,12.2,16.35,10.3,13.8,0,0,0,0,6,16.5,2.8,7.7,3.2,7.55
Coruna,Caleida - Metrovacesa,70,2,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,18,24.12,7.8,10.45,5.7,13.45,4,9.44,0,0,0,0,13,17.42,8.5,11.39,0,0,0,0,4.9,13.48,4.9,13.48,3.2,7.55
Coruna,Habitat - Torre Amura,71.7,2,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,20,26.8,7.2,9.65,5.1,12.04,4.4,10.38,0,0,0,0,12.1,16.21,8.6,11.52,0,0,0,0,3.8,10.45,7.5,20.63,3,7.08
Coruna,Habitat - Torre Amura,90.5,3,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,24.3,32.56,9,12.06,5.4,12.74,4.5,10.62,0,0,0,0,14.2,19.03,11.5,15.41,8.5,11.39,0,0,4.7,12.93,4.9,13.48,3.5,8.26
Coruna,Habitat - Torre Amura,90.1,3,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,21.3,28.54,9.2,12.33,5.4,12.74,4.2,9.91,0,0,0,0,12.5,16.75,12.1,16.21,10.8,14.47,0,0,5.2,14.3,5.9,16.23,3.5,8.26
Coruna,Caleida - Metrovacesa,86.4,3,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,20.4,27.34,9.1,12.19,5.2,12.27,4.5,10.62,0,0,0,0,15.6,20.9,8.5,11.39,8.4,11.26,0,0,4.3,11.83,6.5,17.88,3.9,9.2
Coruna,Parque Eiris - Metrovacesa,123.8,4,3,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,26.3,35.24,10.5,14.07,6.8,16.05,3.8,8.97,3.1,7.32,0,0,16.1,21.57,12.3,16.48,12,16.08,11.3,15.14,2.7,7.43,14.4,39.6,4.5,10.62
Madrid,El Pinar Caleruega - Proceparsa,68.66,2,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,23.53,31.53,6.5,8.71,5.07,11.97,4.41,10.41,0,0,0,0,14.13,18.93,11.82,15.84,0,0,0,0,0,0,3.2,8.8,0,0
Madrid,Borea Arroyo Fresno Portablanca / Fcc,77.44,2,1,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,29.87,40.03,9.66,12.94,4.69,11.07,0,0,0,0,0,0,12.94,17.34,10.97,14.7,0,0,0,0,5.4,14.85,3.91,10.75,0,0
Madrid,Mesena - Metrovacesa ,72.2,2,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,22.1,29.61,11.2,15.01,4.1,9.68,3.8,8.97,0,0,0,0,14.6,19.56,9.7,13,0,0,0,0,4.3,11.83,2.4,6.6,0,0
Madrid,El Pinar Caleruega - Proceparsa,95.91,3,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,29.01,38.87,18.88,25.3,5.86,13.83,4.29,10.12,0,0,0,0,13.7,18.36,10.14,13.59,9.23,12.37,0,0,0,0,4.8,13.2,0,0
Madrid,Borea Arroyo Fresno Portablanca / Fcc,84.09,3,1,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,25.25,33.84,10.73,14.38,4.87,11.49,0,0,0,0,0,0,15.41,20.65,10.67,14.3,9.96,13.35,0,0,5.47,15.04,1.73,4.76,0,0
Madrid,El Pinar Caleruega - Proceparsa,85.76,3,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,26.56,35.59,11.42,15.3,4.43,10.45,4.21,9.94,0,0,0,0,13.76,18.44,10.46,14.02,10.13,13.57,0,0,0,0,4.79,13.17,0,0
Madrid,Borea Arroyo Fresno Portablanca / Fcc,80.01,3,1,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,22.99,30.81,9,12.06,4.82,11.38,0,0,0,0,0,0,16.56,22.19,10.73,14.38,8.73,11.7,0,0,5.47,15.04,1.71,4.7,0,0
Madrid,Mesena - Metrovacesa ,117.6,4,2,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,29.3,39.26,11.2,15.01,4.8,11.33,3.6,8.5,0,0,2.2,5.19,22.8,30.55,11.1,14.87,10.7,14.34,10.4,13.94,5.7,15.68,5.8,15.95,0,0
Madrid,Borea Arroyo Fresno Portablanca / Fcc,135.25,4,3,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,36.92,49.47,12.46,16.7,4.2,9.91,4.08,9.63,2.77,6.54,0,0,21.64,29,12.96,17.37,12.95,17.35,12.55,16.82,7.72,21.23,7,19.25,0,0
Madrid,Borea Arroyo Fresno Portablanca / Fcc,109.12,4,3,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,28.51,38.2,11.09,14.86,4.91,11.59,3.97,9.37,3.78,8.92,0,0,16.7,22.38,11.14,14.93,10.11,13.55,8.94,11.98,4.86,13.37,5.11,14.05,0,0
Madrid,Mesena - Metrovacesa ,123.4,4,3,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,33.3,44.62,13.6,18.22,4.7,11.09,3.8,8.97,3.3,7.79,0,0,18.7,25.06,10.5,14.07,10.2,13.67,10,13.4,5.9,16.23,9.4,25.85,0,0
Malaga,Zitizen,67,2,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,22.4,30.02,8.8,11.79,3.5,8.26,3.5,8.26,0,0,0,0,13.8,18.49,9.6,12.86,0,0,0,0,3.6,9.9,1.8,4.95,0,0
Malaga,Zitizen,66.1,2,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,21.6,28.94,8.8,11.79,3.7,8.73,3.3,7.79,0,0,0,0,12.9,17.29,9.3,12.46,0,0,0,0,4.1,11.28,2.4,6.6,0,0
Malaga,Zitizen,68.3,2,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,24.5,32.83,7.2,9.65,3.5,8.26,3.3,7.79,0,0,0,0,13.3,17.82,9.3,12.46,0,0,0,0,4.4,12.1,2.8,7.7,0,0
Malaga,Zitizen,71.8,3,1,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,20.2,27.07,8.5,11.39,3.8,8.97,0,0,0,0,0,0,12.8,17.15,9.4,12.6,8.9,11.93,0,0,4,11,4.2,11.55,0,0
Malaga,Zitizen,72.2,3,1,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,19.4,26,8.1,10.85,3.6,8.5,0,0,0,0,0,0,13.7,18.36,9.6,12.86,9.3,12.46,0,0,4.7,12.93,3.8,10.45,0,0
Malaga,Zitizen,72.2,3,1,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,20.5,27.47,8.4,11.26,3.7,8.73,0,0,0,0,0,0,12.9,17.29,9.3,12.46,8.8,11.79,0,0,2.4,6.6,6.2,17.05,0,0
Manresa,La Llum de Manresa - Metrovacesa,60,2,1,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,18.35,24.59,8.45,11.32,5.35,12.63,0,0,0,0,0,0,12.6,16.88,9.25,12.4,0,0,0,0,6,16.5,0,0,0,0
Navarra,Optima / Ardoi,84.8,3,1,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,25.7,34.44,11.5,15.41,4.2,9.91,0,0,0,0,0,0,14.05,18.83,10.65,14.27,10.6,14.2,0,0,3.85,10.59,4.25,11.69,0,0
Navarra,Optima / Ardoi,80.3,3,1,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,22.35,29.95,9.65,12.93,4.2,9.91,0,0,0,0,0,0,13.65,18.29,11.95,16.01,9.2,12.33,0,0,5.95,16.36,3.35,9.21,0,0
Navarra,Optima / Ardoi,85.5,4,1,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,24.15,32.36,10.05,13.47,4.2,9.91,0,0,0,0,0,0,14.75,19.77,11.35,15.21,10.35,13.87,7,9.38,3.65,10.04,0,0,0,0
Navarra,Optima / Ardoi,114,4,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,32.9,44.09,12.7,17.02,4.2,9.91,3.9,9.2,0,0,0,0,16.85,22.58,10.65,14.27,10.4,13.94,9.2,12.33,6.9,18.98,6.3,17.33,0,0
Navarra,Optima / Ardoi,104.45,4,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,24.5,32.83,12.8,17.15,4.2,9.91,3.95,9.32,0,0,0,0,16.65,22.31,10.5,14.07,10.3,13.8,9,12.06,6.3,17.33,6.25,17.19,0,0
Navarra,Optima / Ardoi,104,4,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,26.85,35.98,11.7,15.68,4.4,10.38,3.8,8.97,0,0,0,0,14.05,18.83,10.45,14,10.05,13.47,8.25,11.06,9.4,25.85,5.05,13.89,0,0
Oviedo,Alveum III - Arqura Homes,92.85,3,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,20.25,27.14,9.5,12.73,4.23,9.98,4.18,9.86,0,0,0,0,15.87,21.27,11.98,16.05,11.87,15.91,0,0,5.24,14.41,5.79,15.92,3.94,9.3
Oviedo,Alveum III - Arqura Homes,114.89,4,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,26.29,35.23,12.86,17.23,4.36,10.29,4.28,10.1,0,0,0,0,14.88,19.94,12.48,16.72,12.12,16.24,9.08,12.17,9.43,25.93,6.78,18.65,2.33,5.5
